handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_fbef08b0-9762-4c52-a259-2996057261da,Product,Vintage Photography Original Karl Lagerfeld 1986,"<p>
 Vintage Silver Gelatin photograph
</p>
<p>
</p>
<p>
 29 x 21cm / 11.41 x 8.26 inches
</p>",6def76_e0f0fbf7755842b08bdfde8ef8fc07e5~mv2.jpg;6def76_43155814677e45d8bfe27246a7c96ee2~mv2.jpg;6def76_7256de3c66d9426b8204b59a9457019c~mv2.jpg,Portrait / People;Cinema / Music / TV,WX_812E5327,,95.0,,true,PERCENT,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d04aa680-46e5-4c08-b0ac-2a95bae25100,Product,Vintage Photography Original Mother and Son at the Beach,"<p>
 Vintage Silver Gelatin photograph
</p>
<p>
</p>
<p>
 13&nbsp;x 18&nbsp;cm / 5.11 x 7.08 inches
</p>
<p>
</p>
<p>
 folds
</p>",6def76_a037dfe45e004c6a866f996920c6f54c~mv2.jpg;6def76_b222835c04614e458ec3ad6012a6aaba~mv2.png;6def76_e7aeb8e14f0f4249b174e8b056e4672f~mv2.jpg;6def76_001b804d3b3a49e4bc0172517f39cbc5~mv2.png;6def76_38dd7f9e221e4c33853c4f7107426fa7~mv2.png;6def76_f162b340c8c94a3089cb1f6a32ea5698~mv2.png;6def76_7188b3dc3c4d4cf6a6cf8bc66d4d3c54~mv2.jpg,Life / Genre Scenes;Press Photography,WX_75D7A13F,,95.0,,true,PERCENT,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_72961857-d83b-487e-87e7-ca7e4479f43c,Product,"Antique Original Etching Nicolas Robert (1614-1685) Vautour, Bird","<p>
 23 x 18.5 cm&nbsp;(size of the print)
</p>",6def76_ec7a57ec790c4155ad2c975ac3f7053f~mv2.jpg;6def76_ed4173a36602490da23f9504318ce1d5~mv2.jpg;6def76_a7c340eb3e6c41e28ddac4952c7bd9b0~mv2.jpg;6def76_f3724eeefd9e4fd1903883561f8cd9aa~mv2.png;6def76_a97336141b9a467392dcf632a5b1f805~mv2.png;6def76_5dc9649fa093461390a5e8e2cd038086~mv2.png;6def76_0a596261c5ad478bb6f6393e3b84ca5e~mv2.jpg;6def76_a9e42366e95b4a44aa07fa1318f55f51~mv2.jpg,Flowers / Still Life / Animals;17th century and 18th century,WX_118B613D,,330.0,,true,PERCENT,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_431480be-0696-45b0-b17c-43999c64b6de,Product,Vintage Photography Original Young Woman at the Ice Skating Rink 1920',"<p>
 Vintage Silver Gelatin photograph
</p>
<p>
</p>
<p>
 13 x 18 cm / 15.11 x 7.08 inches
</p>
<p>
 folds
</p>",6def76_9f7bbbff7d1240a1adb72c6831a8439d~mv2.png;6def76_815c6d2919964a59ab04c65901321b88~mv2.jpg;6def76_120071fe22e9414c9082bf1f60a1748e~mv2.png;6def76_feba9e8e722843a1b1c5a5708d8abdb3~mv2.jpg;6def76_86ef2b4335fa418184734683f1d411d2~mv2.png;6def76_a19098c6140344038f4e15eaa77107da~mv2.png;6def76_6cf6dab3be8d412187e64f1b6d0a5466~mv2.png,Portrait / People;Press Photography,WX_2CC88A10,,95.0,,true,PERCENT,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_a5874da2-7c68-418b-b6c7-e09c0cd78582,Product,Lot of 30 Antique CDV Portraits - 19th Century Carte de Visite Collection,"This lot of 30 antique Carte de Visite (CDV) portraits features a diverse selection of 19th-century gentlemen, showcasing fashion, hairstyles, and photographic styles of the era. The CDVs are beautifully preserved with unique card mounts, varying from studio imprints to decorative borders. Ideal for collectors of vintage photography, genealogy enthusiasts, or as distinctive decor for historical displays. A wonderful representation of 19th-century photography and timeless portraiture.",6def76_7f9bb3a31e4e4ab6be8a384b40374134~mv2.jpg;6def76_b6c4be8cfd8748139ab4abf463b2d70a~mv2.jpg;6def76_9130065aed954417ad8dce16a20bbe8a~mv2.jpg;6def76_eb61cb5f2cf54e748cb094d68b93ab6f~mv2.jpg;6def76_abc7a67edac14a71acd4155be16ee74f~mv2.jpg;6def76_85755b47f48f400e8243347dc7307880~mv2.jpg;6def76_687f761ddab44891baf0e215abae24c9~mv2.jpg;6def76_29bced463535430fba69566c4581be46~mv2.jpg;6def76_9ecdc218570a4335b7a1a847c17d2081~mv2.jpg;6def76_47718ff297d349cba794f8e62c8c3c8c~mv2.jpg,Photographs,,,355.0,,true,PERCENT,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_1b2a4c3d-e236-4d7b-a8f1-5cf24a601d4c,Product,Antique Victorian Lady Print - 19th Century Fashion Illustration,"This charming Victorian-era print features an elegant lady dressed in 19th-century attire, complete with a lavish feathered hat, intricate lace, and colorful fabrics. Her detailed portrait highlights the opulent style and artistry of the period. This antique artwork is ideal for collectors, lovers of historical fashion, or as unique wall decor to bring vintage charm to any space. Perfect for framing, this original piece beautifully preserves the elegance of the Victorian age.<br>
<br>
Era: Late 19th century<br>
Subject: Victorian lady in elaborate attire<br>
Condition: Well-preserved with minimal age-related wear<br>
Style: Lithographic illustration<br>
Dimensions: 16 x 12 cm / 6.29 x 4.72 inches<br>
Condition: stains, folds<br>
<br>
Perfect for:<br>
- Vintage fashion enthusiasts<br>
- Collectors of antique ephemera<br>
- Unique home or gallery decor",6def76_7aadcc6970a342bd87550d47a342c36b~mv2.jpg;6def76_ce8c3323089c40b98d8897f3f871787d~mv2.jpg;6def76_681104b0127c40bca5af12c3cc7aebf7~mv2.jpg;6def76_b0567fd064764a5199714189db203172~mv2.jpg;6def76_15fff5930ee64f6fa338f2ffc4405c16~mv2.jpg;6def76_b986f2aeec7d40cb9faf051259b1bce6~mv2.jpg;6def76_3d82e93075284427811630b3157a40b3~mv2.jpg;6def76_6d606ce2718145b58290b31b72131d45~mv2.jpg;6def76_5299a6cc47e6425a82871920d80e4da0~mv2.jpg;6def76_602ffb93de06491f9b7edcdbb3182fd7~mv2.jpg,Fashion,,,28.0,,false,PERCENT,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_ce2f1144-68f0-40f8-a86e-a9b688beb305,Product,Set of 6 Antique Trade Cards - 19th Century Advertising Illustrations,"This vibrant set of 6 antique trade cards features charming and whimsical scenes, including playful illustrations for Chocolat-Louit, Chocolat-Payraud, and Aux Deux Orphelines. The colorful cards depict everyday life, humorous moments, and cultural references, showcasing detailed artistry and 19th-century advertising charm. These unique vintage ephemera pieces are perfect for collectors, lovers of nostalgic artwork, or as eye-catching framed decor.<br>
<br>
Details:<br>
Dimensions: 6.5 x 10.5 cm / 2.36 x 4.13 inches<br>
Type: Antique trade cards<br>
Themes: Everyday life, humor, advertising art, and cultural scenes<br>
Condition: Good overall with minor wear consistent with age<br>
Advertisers: Chocolat-Louit, Chocolat-Payraud, Aux Deux Orphelines, Chaussures Raoul<br>
Quantity: Set of 6 cards<br>
<br>
Perfect for:<br>
Ephemera and trade card collectors<br>
Vintage advertising enthusiasts<br>
Nostalgic and playful wall decor<br>
Lovers of 19th-century art and history",6def76_4452767cb709452a80f653542042d208~mv2.jpg;6def76_9c968a7fc05941a4a67f011dfcd23fae~mv2.jpg;6def76_e7e4f4f57027421daf891db1f80497c4~mv2.jpg;6def76_916ddee178dd416d8541d8a6be09f7b0~mv2.jpg;6def76_31045fa25b694e548c615eeef2ff9b19~mv2.jpg;6def76_5c9f708d2a794f4abb26a50c28406442~mv2.jpg;6def76_36017add8bd148d38b7a5769a70a4414~mv2.jpg,Chromo,,,68.0,,true,PERCENT,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_34d5f6e9-af6f-436e-9aba-44ccc9fbebad,Product,Antique Advertising Card – Sita Apportant l’Orange à ses Peuples – Exotic 19th,"This beautiful 19th-century lithographed advertising card features an exotic and ornate design with Sita, a figure from Indian mythology, bringing oranges to her people. It is part of the collectible series L'Orange à Travers le Monde by L. Chalon and published for Phosphatine Falières. This card combines intricate detailing, cultural inspiration, and vivid colors, including decorative pillars, mythological creatures, and traditional Indian artistic motifs.<br>
<br>
A perfect addition to any ephemera collection, antique advertising archives, or vintage wall art decor for an elegant and historical touch.<br>
<br>
Key Features:<br>
Dimensions: 18.5 x 13 cm / 7.28 x 5.11 inches<br>
Date: Late 19th century (ca. 1890s)<br>
Publisher: Phosphatine Falières, Paris<br>
Series: L'Orange à Travers le Monde<br>
Subject: Sita from Indian mythology, exotic themes<br>
Size: Approx. 6.5 x 4.75 inches (16.5 x 12 cm)<br>
Condition: Good vintage condition with minor age-related wear. Vivid lithograph print with clear, intricate details.<br>
This unique historical piece is ideal for antique collectors, art enthusiasts, or those passionate about cultural and mythological themes.",6def76_4445cb17973d40249449504fae999050~mv2.jpg;6def76_09810011a6664fda9dd046d1a1017fd3~mv2.jpg,Life Scenes,,,45.0,,false,PERCENT,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7d4585a8-9cd4-4ca5-8458-d8a96653e69a,Product,Vintage Gold-Tone Textured Bracelet – Statement Jewelry with Intricate Detailing,"This elegant vintage gold-tone bracelet features stunning, textured details and a unique design that wraps beautifully around the wrist. Each link showcases intricate craftsmanship, giving it a timeless and sophisticated look, perfect for both formal occasions and everyday wear.<br>
<br>
The bracelet's warm gold-tone finish adds a classic, radiant charm that pairs effortlessly with other jewelry or makes a bold statement on its own.<br>
<br>
Key Features:<br>
Dimensions: 18 cm length / 7.08 inches<br>
Material: Gold-tone metal<br>
Design: Textured, ornate links for an elegant look<br>
Length: Approximately 7 inches (18 cm)<br>
Condition: Excellent vintage condition with minimal wear, clasp intact and fully functional<br>
Era: Likely mid-20th century (circa 1960s-1980s)<br>
Ideal for vintage jewelry collectors, fashion lovers, or as a thoughtful gift for her. This bracelet brings a touch of retro glamour to any outfit.",6def76_c62e4e2f15ec49d2a6b2be6c8a954293~mv2.jpg;6def76_a4a3c7176ad74a6c91217d56e560a6c1~mv2.jpg;6def76_c6a8174858bf4913b50f403c408bd801~mv2.jpg,Jewels,,,45.0,,false,PERCENT,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_6d359c22-4f18-4df2-92b2-651944598f64,Product,"Antique French Fashion Print – Journal des Jeunes Personnes, 1867, Victorian","This is a stunning original 19th-century French fashion print from the Journal des Jeunes Personnes, dated April 1867. This hand-colored engraving depicts two elegantly dressed Victorian women and a child interacting with a birdcage. The scene beautifully reflects 19th-century French fashion trends, with ornate dresses featuring detailed trims, ruffles, and vibrant colors.<br>
<br>
This piece is perfect for collectors of antique prints, fashion enthusiasts, or as a unique decor item in vintage or shabby chic interiors.<br>
<br>
Details:<br>
Date: April 1, 1867<br>
Publisher: Journal des Jeunes Personnes (Paris, France)<br>
Medium: Hand-colored engraving on paper<br>
Dimensions:<br>
Approx. 25 cm x 17 cm (9.8 x 6.7 inches)<br>
Condition: Good condition for age; minor discoloration and wear at edges.<br>
Subjects: Victorian women, children, fashion, birdcage, floral accents.<br>
Style: Romantic, Victorian, Antique",6def76_0c666a8c369940d4891d3e5fe8bed172~mv2.jpg;6def76_6f9be9e3742b433fa419cfa6273b0bd0~mv2.jpg;6def76_1b01a567404f43538a7ae6e8a1e6d598~mv2.jpg;6def76_696b2287ab4844289205eb7a53c78390~mv2.jpg;6def76_02a68d56499042249187697fad17c9ad~mv2.jpg;6def76_7a311107dca040f9a8708e84b73f5974~mv2.jpg,Flowers,,,35.0,,true,PERCENT,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
